Title,Authors,Description,Category,Publisher,Publish Date,Price
Merry Christmas Ornaments,By Leisure Arts,,,Leisusre Arts,"Sunday, January 1, 1995",Price Starting at $4.99
Deception (The Grace Mysteries),"By Finney, Patricia, Cavendish, Grace, Burchett, Jan, and Vogler, Sara","Queen Elizabeth is furious at the production delays of her new coin. To escape her bad temper, Lady Grace and her fellow Maids of Honour skate down the frozen River Thames to the eagerly anticipated Frost Fair. But a gruesome discovery on the ice–a dead man with coins covering his eyes–interrupts the winter revelry. As the Queen’s Lady Pursuivant, Grace must unravel the mystery.Uncover a dangerous world of counterfeiting and corruption inside the private daybooke of Lady Grace, the queen’s favorite Maid of Honour.All miscreants and ill-thinkers, keep out! The Lady Grace Mysteries come to us from the most privy and secret daybooke ofLady Grace Cavendish, Maid of Honour to her Gracious Majesty, Queen Elizabeth I of that name."," Juvenile Fiction , Historical , Renaissance",Delacorte Books for Young Readers,"Thursday, September 1, 2005",Price Starting at $5.29
Secrets of the Samurai: The Martial Arts of Feudal Japan,"By Ratti, Oscar and Westbrook, Adele","Traces the history of the martial arts of Japan from the feudal period, illustrating implements and characteristic dress"," Sports & Recreation , General",Tuttle Publishing,"Monday, July 1, 1991",Price Starting at $5.82
"Minerva J. Chapman; a retrospective exhibition, October 4 to November 15, 1971.","By Chapman, Minerva J. Adams Davidson Galleries.",,,"Adams Davidson Galleries,","Friday, January 1, 1971",Price Starting at $5.99
Journey into China,By National Geographic Society (U. S.),,,Univ of Washington Pr,"Friday, October 1, 1982",Price Starting at $9.40
"Eat, Drink, and Weigh Less: A Flexible and Delicious Way to Shrink Your Waist Without Going Hungry","By Katzen, Mollie and Willett, Walter","The head of the Department of Nutrition at Harvard and the author of Moosewood Cookbook have teamed up to create a new program that will show you how to shrink your waist and keep pounds off--while still eating everything you love!With so many fad diets telling us to eat only this or none of that, it's no surprise that so many of us believe it's impossible to lose weight while eating a wide variety of delicious foods. But it is possible--and surprisingly simple. Eat, Drink, and Weigh Less presents a medically sound, easy-to-use program that paves the way for lifelong weight loss and good health.This isn't a diet that deprives you of anything. You'll lose weight while eating and drinking the same things you already enjoy, including chocolate and alcohol! The secret is adding delicious food to your diet and making surprisingly simple changes in what you eat throughout the day. These small moves will add up to a big weight loss.The Eat, Drink, and Weigh Less eating plan is flexible, adaptable to your lifestyle, and simple to implement. It even features a powerful new way to chart your progress, called the Body Score: The more you raise your Body Score, the more you will lower your weight!While the concept is simple, the science behind it is not. The plan represents years of research conducted by Walter Willett, M.D., the head of the Harvard School of Public Health's Department of Nutrition, including results from the famous Nurses' Health Study. This study scored each of its more than 84,000 participants on food choices, exercise schedule, and body mass--resulting in a number that accurately determined the nurses' risk of heart disease.Now, for the first time, Dr. Willett has teamed up with bestselling cookbook author Mollie Katzen to adapt this complex study to everyday use. With their Nine Turning Points and more than 100 delicious new recipes, they've created a user-friendly diet plan with fail-safe results. Choose foods according to these nine principles and you'll raise your Body Score--and lower your weight for good!"," Health & Fitness , Diet & Nutrition , Diets",Hachette Books,"Sunday, April 1, 2007",Price Starting at $4.99
The Trouble With Money (Larger Agenda Series),"By Greider, William, Rukeyser, William S., and Kiser, Anthony C. (EDT)",,,Whittle Communication,"Wednesday, November 1, 1989",Price Starting at $4.99
Little Black Book on Reaching Your Dreams (Little Black Book Series) (Little Black Book Series) (Little Black Books (Harrison House)),"By Bartel, Blaine","Provides spiritual advice on how to be successful in all aspects of life including planning, networking, and creating opportunities."," Religion , Inspirational",Harrison House,"Tuesday, June 1, 2004",Price Starting at $5.29
Minute Meditations for Couples,"By Barnes, Bob",The author of A Cup of Hope offers couples a series of meditations designed to assist with time management and the marital relationship. Original.," Religion , Devotional",Harvest House Publishers,"Thursday, March 1, 2001",Price Starting at $5.29
Stealing Home,"By O'Connor, Philip F.","In an effort to reestablish communication with his son, Benjamin Dunne volunteers to manage the boy's baseball team and becomes increasingly obsessed with winning as his family life continues to deteriorate"," Fiction , General",Alfred A. Knopf,"Thursday, March 1, 1979",Price Starting at $5.29
The Law of Corporations: In a Nutshell (Nutshell Series),"By Hamilton, Robert W.",,,West Group,"Friday, February 1, 1991",Price Starting at $5.29
The Mentor Leader: Secrets to Building People and Teams That Win Consistently,"By Dungy, Tony and Whitaker, Nathan (CON)","“Your only job is to help your players be better.” That single idea had a huge impact on Tony Dungy when he heard it from one of his earliest mentors, and it led him to develop the successful leadership style so admired by players and coaches throughout the NFL. Now, a storied career and a Super Bowl victory later, Tony Dungy is sharing his unique leadership philosophy with you. In The Mentor Leader, Tony reveals what propelled him to the top of his profession and shows how you can apply the same approach to virtually any area of your life. In the process, you’ll learn the seven keys of mentoring leadership—and why they’re so effective; why mentor leadership brings out the best in people; how a mentor leader recovers from mistakes and handles team discipline; and the secret to getting people to follow you and do their best for you without intimidation tactics. As a son, a football player, and a winning coach, Tony has always learned from others on his path to success. Now you can learn to succeed for your team, family, or organization while living out your values—by becoming a mentor leader."," Religion , Christian Living , Personal Growth",Tyndale Momentum,"Sunday, August 1, 2010",Price Starting at $5.29
"Digital Photography for Dummies, Quick Reference",By Julie Adair King,,,"Hungry Minds Inc,U.S.","Tuesday, July 1, 2003",Price Starting at $5.29
The Diabetes Diet Cookbook: 200 Undeniably Delicious Recipes to Balance Your Blood Sugar and Melt Away Pounds,"By Quinn, Barbara",," Cooking , Health & Healing , Weight Control",Rodale Pr,"Thursday, January 1, 2009",Price Starting at $6.18
How Many Animals \1st Brd Bk (My First Golden Board Book),"By Patrick, Denise Lewis and Gleeson, Kate (ILT)","Ever larger numbers of toy animals take part in various activities, from one elephant watering a plant to ten bears in funny hats"," Juvenile Nonfiction , General",Golden Books,"Friday, June 1, 1990",Price Starting at $4.99
Russian for Travellers,By Berlitz Publishing Company,,,Berlitz Guides,"Monday, January 1, 1990",Price Starting at $5.29
The Language Codes,"By Johnston, R. Neville","Why is it that after we ""fall in love,"" so many of us get hurt? Because we ""fell!"" But love feels light, energizing! So it would be more fitting to say ""I've ascended in love!"" and not set ourselves up for a fall.Johnston will have you laughing out loud as you learn the unconscious ways we disempower ourselves with the words and phrases we've been taught to use. You can even write yourself an emancipation proclamation when you finish reading this book!"," Language Arts & Disciplines , Linguistics , General",Weiser Books,"Saturday, April 1, 2000",Price Starting at $5.29
Window of Opportunity: A Blueprint for the Future,"By Gingrich, Newt",A Democratic congressman from Georgia and co-chairman of the Congressional Space Caucus discusses the vast potential of high technology," Social Science , General",Tor Books,"Saturday, September 1, 1984",Price Starting at $6.18
The Ultimate Encyclopedia of Mythology: An A-Z Guide to the Myths and Legends of the Ancient World,"By Arthur Cotterell, Rachael Cotterell",,,Hermes House,"Wednesday, January 1, 2003",Price Starting at $9.40
ABRIENDO PASO LECTURA 2E-TEXT 2001C (Second Edition),"By Diaz, Jose M. and Collins, Stephen J.",," Foreign Language Study , Spanish",Prentice Hall,"Monday, October 1, 2001",Price Starting at $10.99
Nancy Drew 52: the Secret of the Forgotten City,"By Keene, Carolyn","Gold! There are rumors that long ago a treasure was hidden in a city now buried under the Nevada desert. Nancy and her friends plan to join a dig sponsored by two colleges to hunt for the gold. Before she starts, the young sleuth receives an ancient stone table with petroglyphs on it. With this amazing clue, however, come a threat and danger from a thief who also wants the treasure.One harrowing adventure after another besets Nancy, Bess, George, Ned, Burt, and Dave in 102-degree temperatures as they pursue Nancy’s hunches above and below ground. They are assisted by a fine woman and a young geology student, but both are unwilling participants in a strange plot. In the end Nancy and Ned nearly lose their lives, just after she has discovered the priceless hidden treasure of gold."," Juvenile Fiction , Girls & Women",Grosset & Dunlap,"Wednesday, January 1, 1975",Price Starting at $4.99
Lay Aside the Weight,"By Jakes, T. D.",," Health & Fitness , Diet & Nutrition , Diets",Albury Pub,"Wednesday, October 1, 1997",Price Starting at $5.29
Buzby to the Rescue (An I Can Read Book),"By Himmelman, John (ILT) and Hoban, Julia",Buzby the hotel cat does his best to help visiting movie star Serena Lovejoy keep track of her jewels and enjoy her stay at the hotel,,Harpercollins Childrens Books,"Friday, October 1, 1993",Price Starting at $5.29
Love on the Dotted Line: A Novel,"By Talbert, David E.","The author of the Essence bestselling novel Baggage Claim delivers a provocative and richly entertaining new novel about what happens when love and litigation collide.    Morgan Chase, a thirty-four-year-old contracts lawyer, is pushed to her romantic wit's end when she discovers that her boyfriend of nine months, investment banker Marcus Alexander, has been diversifying his ""portfolio"" with another woman. After a few hours of venting with her girlfriends, and more than a few drinks, Morgan decides that the only way you can guarantee that a man will act right after you've been intimate is if you make him sign a contract before you've been intimate.    That very same night, Morgan heads back to the office to create the first-ever relationship contract -- a legal document full of conditions, consideration, and most important, consequences.    Sparks fly, tempers flare, and emotions hit the fan when the man Morgan finally convinces to sign her contract is caught red-handed with another woman. What follows is an ingeniously plotted and thoroughly entertaining fusion of comedy, romance, and courtroom mayhem.    What happens when love itself is put on trial? One thing's for sure...hell hath no fury like an attorney scorned!"," Fiction , Romance , General",Simon & Schuster,"Friday, April 1, 2005",Price Starting at $5.29
The Creation of the Future: The Role of the American University,"By Rhodes, Frank Harold Trevor","Is the university a dinosaur: huge, lumbering, endearing in its own way, yet unsuited to today's world? Is it a thing of the past, unnecessary in an age of the Internet and online learning? In a book likely to provoke people who are loyal to the ideal of the university as well as those who foresee its demise, Frank H. T. Rhodes acknowledges that the university is an imperfect institution, but argues that it plays an essential role in modern society. In the process, he articulates strong opinions on a range of difficult issues.  The Creation of the Future is no defense or promotion of the status quo. Focusing on American research universities, Rhodes makes the case that they are an irreplaceable resource, quite literally a national and international treasure, whose value must be preserved through judicious renewal and reform, beginning with a rededication to teaching as a moral vocation. Rhodes discusses where the research university is today and how it got here, as well as where it must go in the future. In the process, he addresses a wide range of contemporary challenges facing the institution, including*why universities can no longer be ""ivory towers""*why post-tenure review of professors is desirable*whether grading standards have become too lax*why unionization of graduate students is inappropriate*why affirmative action is necessary*how governance and leadership can be improved*how to maintain a sense of commitment to the university in the face of increasing disciplinary specialization*why faculty must affirm that university membership has not only its privileges, but also its price.*what should and should not be done to control the rapid rise in tuition.*whether curricula of professional schools should be more heavily weighted toward the liberal arts.*why service is a social obligation of all universities, not just land-grant institutions.*why research is vital to effective teaching.His eighteen-year tenure as president of Cornell University gives Rhodes a unique perspective on a system he finds both invaluable and in need of change. Although he is an enthusiastic advocate, he pulls no punches in recommending sweeping changes. The greatest catastrophe facing universities today, he writes, is loss of community: ""Without community, knowledge becomes idiosyncratic. The lone learner, studying in isolation, is vulnerable to narrowness, dogmatism, and untested assumption; pursued in community, learning will be expansive and informed, contested by opposing interpretations, leavened by differing experience, and refined by alternative viewpoints.""In championing a new relevance for the American research university, Rhodes argues for renewal through the application of old virtues to new realities. Campus culture, he says, must embrace the human experience in all its richness, breadth, and ambiguity if it is to survive and thrive."," Education , Research",Cornell University Press,"Monday, October 1, 2001",Price Starting at $4.99
"Tell Me Where It Hurts: A Day of Humor, Healing, and Hope in My Life as an Animal Surgeon","By Trout, Nick","It’s 2:47 a.m. when Dr. Nick Trout takes the phone call that starts another hectic day at the Angell Animal Medical Center. Sage, a ten-year old German shepherd, will die without emergency surgery for a serious stomach condition. Over the next twenty-four hours Dr. Trout fights for Sage’s life, battles disease in the operating room, unravels tricky diagnoses, reassures frantic pet parents, and reflects on the humor, heartache, and inspiration in his life as an animal surgeon. And he wants to take you along for the ride.…From the front lines of modern medicine, Tell Me Where It Hurts is a fascinating insider portrait of a veterinarian, his furry patients, and the blend of old-fashioned instincts and cutting-edge technology that defines pet care in the twenty-first century. For anyone who’s ever wondered what goes on behind the scenes at your veterinarian’s office, Tell Me Where It Hurts offers a vicarious journey through twenty-four intimate, eye-opening, heartrending hours at the premier Angell Animal Medical Center in Boston.You’ll learn about the amazing progress of modern animal medicine, where organ transplants, joint replacements, and state-of-the-art cancer treatments have become more and more common.  With these technological advances come controversies and complexities that Dr. Trout thoughtfully explores, such as how long (and at what cost) treatments should be given, how the Internet has changed pet care, and the rise in cosmetic surgery.You’ll also be inspired by the heartwarming stories of struggle and survival filling these pages. With a wry and winning tone, Dr. Trout offers up hilarious and delightful anecdotes about cuddly (or not-so-cuddly) pets and their variously zany, desperate, and demanding owners.  In total, Tell Me Where It Hurts offers a fascinating portrait of the comedy and drama, complexities and rewards involved with loving and healing animals.Part ER, part Dog Whisperer, and part House, this heartfelt and candid book shows that while the technology has changed since James Herriot’s day, the humanity and compassion remains unchanged. If you’ve ever had a pet or special place in your heart for furry friends, Dr. Trout’s irresistible book is for you."," Pets , General",Broadway,"Saturday, March 1, 2008",Price Starting at $5.29
Fat Girl: A True Story,"By Moore, Judith","A Top Ten Nonfiction Book of 2005 (Entertainment Weekly)For any woman who has ever had a love/hate relationship with food and with how she looks; for anyone who has knowingly or unconsciously used food to try to fill the hole in his heart or soothe the craggy edges of his psyche, Fat Girl is a brilliantly rendered, angst-filled coming-of-age story of gain and loss. From the lush descriptions of food that call to mind the writings of M.F.K. Fisher at her finest, to the heartbreaking accounts of Moore’s deep longing for family and a sense of belonging and love, Fat Girl stuns and shocks, saddens and tickles. “Searingly honest without affectation… Moore emerged from her hellish upbringing as a kind of softer Diane Arbus, wielding pen instead of camera.”—The Seattle Times “Frank, often funny—intelligent and entertaining.”—People (starred review) “God, I love this book. It is wise, funny, painful, revealing, and profoundly honest.”—Anne Lamott “Judith Moore grabs the reader by the collar, and shakes up our notion of life in the fat lane.”—David Sedaris “Stark… lyrical, and often funny, Judith Moore ambushes you on the very first page, and in short order has lifted you up and broken your heart.”—Newsweek “A slap-in-the-face of a book—courageous, heartbreaking, fascinating, and darkly funny.”—Augusten Burroughs"," Biography & Autobiography , Personal Memoirs",Plume,"Wednesday, February 1, 2006",Price Starting at $5.29
To Whom Palestine?,"By Gervasi, Frank",,,D. Appleton-Cen,"Tuesday, January 1, 1946",Price Starting at $5.29
"Making the ""Terrible"" Twos Terrific (Volume 4)","By Rosemond, John",A child psychologist emphasizes the importance of understanding--understanding a parent's task and a child's breakthrough--during a difficult time in childhood development. By the author of Parent Power! Original.," Family & Relationships , Parenting , General",Andrews McMeel Publishing,"Thursday, July 1, 1993",Price Starting at $5.29
3001: The Final Odyssey,"By Clarke, Arthur C.","The conclusion of the classic series that began with 2001: A Space Odyssey explains what really happened to Dave Bowman, who reentered the Discovery to incapacitate the psychotic computer Hal, and speculates about the future relationship between human and machine. 300,000 first printing."," Fiction , Science Fiction , General",Del Rey,"Saturday, February 1, 1997",Price Starting at $5.29
Friendship First,By Group Publishing,,,Group Publishing,"Wednesday, June 1, 2005",Price Starting at $5.29
"King of the Murgos (The Malloreon, Book 2)","By Eddings, David","Here David Eddings’ bestselling The Malloreon continues as the epic quest begins, across new lands and among strange peoples. A magnificent fantasy of men, Kings, sorcerers, and Gods caught up in a death struggle between two ancient, warring Destinies—the culmination of a seven-thousand-year war of Good and Evil.The infant son of Garion and Ce’Ndra had been foully kidnapped. Now they began the great quest to rescue the child, with the immortal Begarath the Sorcerer, his daughter Polgara the Sorceress, and inevitably the little Drasnian, Silk.Guided by the Orb of the God Aldur, their way led through the foul swamps of Nyissa, then into the lands of the Murgos. And at the end, they must face a horrible danger—to themselves and to all mankind. For the Dark Prophecy had not vanished when Garion slew the evil God Torak. Instead, it had fled to Zandramas, who was now the Child of Dark. Dark and Light still contended for mastery, and Zandramas planned to use the child in some rite and the Sardion Stone to insure that the Dark would triumph.If they could not be at that impossible place when Zandramas arrived, they would lose—forever.",,Del Rey,"Wednesday, February 1, 1989",Price Starting at $4.99
"Joint Air Operations: Pursuit of Unity in Command and Control, 1942-1991 (A Rand Research Study)","By Winnefeld, James A. and Johnson, Dana J.","With the current downsizing of the U.S. military putting a premium on joint response to threats, this landmark study of joint U.S. air operations over the past fifty years provides timely information on a topic of vital concern. The most comprehensive single-volume discussion available, it examines six major air campaigns - Midway, the Solomon Islands, Korea, Vietnam, El Dorado Canyon (Libya), and Desert Storm - in a search for lessons learned that might be applied in the planning and organizing of future joint operations.The focus of the book is on the differences - at times bitter acrimony - among the services on the control and employment of theater air forces. With each service having an ""air force"" of its own, each with a distinctive doctrine, the study confirms that their views are often diametrically opposite and that joint doctrine has been slow to evolve.The authors, RAND Corporation analysts, are refreshingly objective and clear in addressing the problems and issues that continue to hamper effective joint air operations but point to the progress shown in Desert Storm, as indicated by their interviews with some fifty airmen, planners, and major commanders of the operation. Their recommendations for the future take advantage of the diversity inherent in U.S. air power while minimizing sources of disharmony.Based on a RAND study published in 1991, this book has been expanded and revised to appeal to a broader audience and promises to stimulate discussion and debate on how to optimize the effectiveness of U.S. forces facing cuts in funding. It is must reading not only for military professionals but for military history enthusiasts and everyone interested in the nature of America's future air battles."," Technology & Engineering , Military Science",Naval Inst Pr,"Saturday, May 1, 1993",Price Starting at $4.99
The Mouse Who Wanted To Marry,By Doris Orgel,,,Bantam Doubleday Dell Publishi,"Friday, January 1, 1993",Price Starting at $5.29
Love Poems,By Rh Value Publishing,"This treasury of beloved verse, complete with satin ribbon marker is both a tribute to a special loved one and an affirmation of the life-changing power of love in our lives. For as long as words have been used to express feelings, poets have attempted to put the feelings of love into words. Shakespeare, Byron, Shelley, Blake, Tennyson, Browning--from ""shall I compare thee to a summer's day"" to ""I love thee to the depth and breadth and height my soul can reach""--these  words capture the elevating power of love to inspire the best that is in us. Celebrate that all-encompassing, head-over-heels, anything-for-you emotion with these beautiful love poems.",,Gramercy,"Wednesday, November 1, 1995",Price Starting at $5.29
Jefferson and the Gun-Men: How the West Was Almost Lost,"By Montgomery, M. R.","Just three decades after the revolution that gave birth to the United States, another insurgency was already brewing, this time led by a charming - and treacherous - Aaron Burr. The former vice president had determined that if he could not be master of his nation, he would instead become emperor of the Louisiana Territory. Working with the powerful commander of the U.S. Army, General James Wilkinson, Burr instigated a plot to seize not only Louisiana, but all of Mexico. This nefarious plot even included the hapless Zebulon M. Pike.Jefferson and the Gun-men is the story of this scheme. Montgomery portrays a time when the wildest plots and the most grandiose dreams thrived as schemers, revolutionaries, black-guards, and braggarts conspired to create a new country. In this race to capture the heart of a new frontier, Montgomery finds a young nation just beginning to imagine itself and understand its destiny."," Science , Earth Sciences , Geography",Crown,"Saturday, July 1, 2000",Price Starting at $5.64
Boast,"By Donald, Miles",,,St Martin's Press,"Tuesday, January 1, 1980",Price Starting at $13.37
"Nicholas & Alexandra - The Last Imperial Family of Tsarist Russia - Exhibition Album by Bianchi, Robert Steven (Ed.) (1999) Paperback",By Robert Steven Bianchi,,,London : Booth-Clibborn Editio,"Friday, January 1, 1999",Price Starting at $5.29
"Discovering Great Jazz: A New Listener's Guide to the Sounds and Styles of the Top Musicians and Their Recordings on Cds, Lps, and Cassettes (A Newm)","By Stroff, Stephen M.","The estate planner and radio host offers her sage advice to couples on how to manage their money, discussing ""fight patterns,"" improving communications, and much more. By the author of The Wealth-Building Years. Original."," Music , Genres & Styles , Jazz",Newmarket Pr,"Wednesday, September 1, 1993",Price Starting at $5.29
Pennsylvania Avenue: America's Main Street,"By Highsmith, Carol M. and Landphair, Ted",," History , General",Aia Pr,"Wednesday, March 1, 1989",Price Starting at $7.09
Pittsburgh: The Story of an American City,"By Lorant, Stefan",,,"Doubleday & Company, Inc c1964","Wednesday, January 1, 1964",Price Starting at $32.37
Death Echo,"By Lowell, Elizabeth","“Elizabeth Lowell has long set a standard of excellence for thrillers that never stint on either romance or suspense.”—BookPage New York Times bestselling author Elizabeth Lowell cuts a razor-sharp new edge in romantic suspense with Death Echo, a thrilling tale of passion, danger, and international intrigue. A breakneck-paced novel that unites a beautiful former CIA agent with a tough and haunted ex-Special Forces operative, Death Echo is a top-rank thriller in the vein of Iris Johansen, Tami Hoag, and Lisa Gardner—and a dazzling example of the superior storytelling that inspired author Jayne Ann Krentz to declare, “I’ll buy anything with Elizabeth Lowell’s name on it.”"," Fiction , Romance , Suspense",William Morrow,"Tuesday, June 1, 2010",Price Starting at $4.99
With Love,"By Marks, Alan (ILT), Goodall, Jane, and Marks, Alan","In this enchanting book, world-renowned scientist and conservationist Jane Goodall brings together stories gleaned from nearly 40 years of studying chimps in the forests of Tanzania. As the stories recounted here demonstrate, chimpanzees are capable of great compassion, altruism and love. Full color."," Juvenile Nonfiction , Science & Nature , Zoology",North-South Books,"Wednesday, April 1, 1998",Price Starting at $4.99
She Walks in Beauty,"By Mitchell, Siri","For a young society woman seeking a favorable marriage in the late 1890s, so much depends on her social season debut. Clara Carter has been given one goal: secure the affections of the city's most eligible bachelor. Debuting means plenty of work--there are corsets to be fitted, dances to master, manners to perfect. Her training soon pays off, however, as celebrity's spotlight turns Clara into a society-page darling. Yet Clara wonders if this is the life she really wants, especially when she learns her best friend has also set her sights on Franklin De Vries. When a man appears who seems to love her simply for who she is, and gossip backlash turns ugly, Clara realizes it's not just her heart at stake--the future of her family depends on how she plays the game."," Fiction , Christian , Romance",Bethany House Publishers,"Thursday, April 1, 2010",Price Starting at $5.29
The Seduction of an English Lady (Avon Historical Romance),"By Maxwell, Cathy","To seduce an English lady, a gentleman must always remember to . . .Gaze longingly into her eyes while declaring her beauty . . .Colonel Colin Mandland has wealth, power . . . everything but a bride. But although there is no mistress of his newly purchased manor, Maiden Hill, there is certainly a resident maiden: Lady Rosalyn Wellborne, a stubborn beauty who steadfastly refuses to leave the place  she has always called home.Hold her hand just a fraction longer than necessary...Tantalizing Rosalyn proves to be far more difficult than any enemy he's ever met on the battlefield. She attacks by declaring Colin an upstart who is unfit for local society. He shockingly counters by offering for her hand in  marriage—and she surprisingly accepts. Or, when all else fails, conquer her.Although this genteel lady has vowed never to succumb to unbridled passion, she quickly learns that theirs will be no marriage in-name-only, but rather a slow, sensuous and alarmingly effective seduction . . . that turns her world upside down."," Fiction , Romance , Historical , General",Avon,"Monday, December 1, 2003",Price Starting at $4.99
Qualities of Effective Teachers,"By Stronge, James H.",Identifies specific teacher behaviors that contribute to student achievement.," Education , General",Assn for Supervision & Curriculum,"Monday, July 1, 2002",Price Starting at $4.99
Secret Longings of the Heart: Overcoming Deep Disappointment and Unfulfilled Expectations (Navigators Reference Library),"By Kent, Carol","While the Lord knows your deepest longings and passions, you are not always aware of them yourself. Daringly honest, powerfully encouraging, and thoroughly biblical, Secret Longings of the Heart helps women explore their desire for victory over 10 areas of life. This Bible study examines which attitudes, lifestyles, and behaviors can lead to fulfillment in Christ. Includes discussion questions."," Religion , Christianity , General",Navpress,"Sunday, January 1, 2017",Price Starting at $5.29
"The Action Hero's Handbook: How to Catch a Great White Shark, Perform the Vulcan Nerve Pinch, Track a Fugitive, and Dozens of Other TV and Movie Skills","By Borgenicht, David and Borgenicht, Joe","The Ultimate Guide to Keeping Up with the Indiana Joneses   For everyone who’s ever wanted to be as smooth as James Bond, as clever as Captain Kirk, or as tough as Charlie’s Angels, The Action Hero’s Handbook is the ultimate guide to the essential skills every action hero needs to survive and thrive in this dangerous but exciting world.   This book features dozens of real-life action hero techniques, directly from experts in the subjects at hand: FBI agents, sexologists, stuntmen, hypnotists, karate masters, criminologists, detectives, and many others. Learn how to:       •  Catch a great white shark     •  Deliver the Vulcan Nerve Pinch     •  Spyproof your hotel room     •  Win a fight when outnumbered     •  Climb down Mount Rushmore National Monument   And dozens of other Good Guy Skills, Paranormal Skills, Fighting Skills, and Escape Skills. With meticulously researched step-by-step instructions and easy-to-follow illustrations, The Action Hero’s Handbook will get you ready for anything. Good luck—we’re all counting on you."," Reference , Personal & Practical Guides",Quirk Books,"Monday, July 1, 2002",Price Starting at $4.99
"100,000 + BABY NAMES:The Most Complete Baby Name Book","By Lansky, Bruce","The most helpful, complete, and yearly up-to-date name bookWhat's new about names?  The new edition of 100,000+ Baby Names by Bruce  Lansky features the most up-to-date lists of names, trends, advice, and  fascinating facts about names, including:Hundreds of newly popular names and variationsThe latest list of top 100 names for boys and girlsThe latest naming trends: what's hot and what's notThe most rapidly rising and falling top 1,000 namesUpdated lists of names to consider, including names of newly famous people and fictional charactersThe most popular gender-neutral names and their rates of use (more for boys, more for girls, or 50/50)New (and classic) celebrity baby namesAnd our list of names from around the world keeps growing! Here  you'll find more than 100,000 names--complete with origins, meanings,  variations, and famous namesakes. You'll find names  from major linguistic and ethnic groups of origin, including English  (19,000 names), Latin (11,000 names), Greek (11,000 names), American  (11,000 names), Hebrew (9,000 names), Hispanic (9,000 names), French  (8,000 names), Irish (7,000 names), and German (6,000 names)--plus  thousands of Scottish, Welsh, Italian, Russian, Japanese, Chinese,  Scandinavian, Polish, Native American, Hawaiian, Korean, Thai,  Vietnamese, Australian/Aboriginal, African, and Hindi names. The list  features unique spellings of popular names that are catching on, plus  newly popular names and variations not listed in other books and  websites."," Family & Relationships , Baby Names",Meadowbrook Press,"Tuesday, September 1, 2015",Price Starting at $10.99
The Wimpy Kid Movie Diary (Diary of a Wimpy Kid),"By Kinney, Jeff","A NEWER, REVISED AND EXPANDED EDITION OF THIS BOOK IS NOW AVAILABLE,  The Wimpy Kid Movie Diary (DOG DAYS EDITION), ISBN 978-1419706424. INCLUDES 32 NEW PAGES ABOUT THE THIRD WIMPY KID MOVIE, DOG DAYS, PLUS AN ALL-NEW COVER ILLUSTRATION."," Juvenile Nonfiction , Performing Arts , Film",Amulet Books,"Monday, March 1, 2010",Price Starting at $4.99
The Indigo Blade (Legendary Lovers),"By Jones, Linda","While married to Maximillian Broderick, who has turned into a frivolous fop, Penelope Seaton is asked by an old flame to discover the true identity of Indigo Blade--a dashing revolutionary who defends the oppressed--and she must choose between her love for the mysterious hero or her husband. Original."," Fiction , Romance , Historical",Leisure Books,"Thursday, April 1, 1999",Price Starting at $5.29
"Book Finds: How to Find, Buy, and Sell Used and Rare Books","By Ellis, Ian C.",,,Perigee Trade,"Monday, January 1, 1996",Price Starting at $4.99
The Sonoma Diet Cookbook,"By Guttersen, Connie, Dr., R.D., Ph.D.","More than 175 wholesome recipes for each wave of the diet, including breakfast foods, soups and salads, meat and fish entrees, vegetarian meals, snacks, desserts and holiday specialties.Includes Sonoma Express - easy favorites beginning cooks can master.Favorite recipes from Sonoma wineries and restaurants are also included.Mouth-watering full color photos of delicious entrees, side dishes, desserts and more!Tips and shortcuts to make meal preparation, and your success, even easier."," Cooking , Health & Healing , Weight Control",Meredith Books,"Friday, December 1, 2006",Price Starting at $8.79
"Motivating The ""What's In It For Me?"" Workforce: Managing Across The Generational Divide","By Marston, Cam",,,Cam Marston,"Saturday, January 1, 2005",Price Starting at $5.29
HarperCollins Beginner's Spanish Dictionary: The Essential Dictionary From the First Class to the Final Exam,By HarperCollins (EDT),"The dictionary is designed to be easy to read, easy to use, and easy to understand. The comprehensive entries highlight key translations, all essential set expressions and have clear, helpful examples to show how to best use the translation.   Easy To Read, Easy To UseEasy To UnderstandIdeal for school use and anyone starting to learn SpanishClear, innovative color layout allows for maximum ease of useUnique games section that helps readers have fun while learningSpecial entries on Latin American life and cultureTable of common Spanish verbs"," Foreign Language Study , Spanish",CollinsRef,"Saturday, September 1, 2001",Price Starting at $5.35
Bears on Wheels,"By Berenstain, Stan and Berenstain, Jan",An acrobatic act begins with one Berenstain bear on a unicycle and ends with twenty-one bears and sixteen wheels flying through the air.," Juvenile Fiction , Animals , Bears",Random House Books for Young Readers,"Monday, September 1, 1969",Price Starting at $4.99
National Audubon Society Pocket Guide to Familiar Marine Mammals (Audubon Society Pocket Guide Series),"By Amos, Stephen H.","Covers fifty-eight species of seals, sea lions, walruses, whales, dolphins, and porpoises, discussing basic facts, identifying features, range, habitat, and behavior"," Science , General",Knopf,"Sunday, July 1, 1990",Price Starting at $8.29
